emp_id,sector,theoretical_exposure_pct,augmentation_potential_pct,realized_coverage_idx,is_remote_eligible,skill_transferability_score,org_ai_maturity_stage,task_codifiability_score,education_mismatch_idx,displacement_occurred
10001,Education,21.34,28.36,0.4528,TRUE,0.4238,2,0.28,0.1775,FALSE
10002,Architecture & Engineering,3.08,26.78,0,TRUE,0.1908,1,0,0.1033,FALSE
10003,Legal,41.03,26.31,0.3772,FALSE,0.6772,4,0.3502,1,TRUE
10004,Technology/Computer,20.37,50.06,0.223,TRUE,0.1984,3,0.2696,0.3668,FALSE
10005,Protective Service,6.58,9.94,0.2754,FALSE,0.5858,1,0.1324,1,FALSE
10006,Education,16.53,32.13,0.1619,FALSE,0.6929,2,0.1798,0.3774,FALSE
10007,Management,34.59,16.99,0.2874,FALSE,0.4037,1,0.4831,0.2765,FALSE
10008,Technology/Computer,43.2,44,0.6378,TRUE,0.6061,3,0.519,0.6385,FALSE
10009,Technology/Computer,38.89,53,0.3679,TRUE,0.4612,5,0.3989,1,FALSE
10010,Production,20.55,4.23,0.1739,FALSE,0.4424,2,0.1079,0.8743,FALSE
10011,Healthcare Practitioners,25.01,15.46,0.1192,FALSE,0.5583,3,0.1351,0.1452,FALSE
10012,Technology/Computer,14.12,53.83,0.2703,TRUE,0.4597,2,0.2323,0.4842,FALSE
10013,Food Service,2.89,4.89,0,FALSE,0.3439,5,0,0.1185,FALSE
10014,Education,1.25,26.33,0.0489,FALSE,0.1985,4,0.097,0.0724,FALSE
10015,Architecture & Engineering,0.48,32.03,0,FALSE,0.5795,1,0,0.5304,FALSE
10016,Management,17.41,16.61,0.0859,TRUE,0.5394,5,0.3116,0.1,FALSE
10017,Food Service,0,3.78,0,FALSE,0.3944,3,0.0687,0,FALSE
10018,Healthcare Practitioners,16.48,27.21,0.1215,TRUE,0.1483,2,0,0.3364,FALSE
10019,Life/Physical Science,27.17,28.15,0.3171,FALSE,0.7739,4,0.3098,0.3194,FALSE
10020,Construction,2.76,2.23,0.0464,FALSE,0.3739,3,0,1,FALSE
10021,Business & Financial,37.45,51.46,0.5169,TRUE,0.3889,4,0.3963,0.7247,TRUE
10022,Arts & Design,25.35,34.46,0.0984,FALSE,0.4276,4,0.3789,0.5151,FALSE
10023,Protective Service,16.91,15.09,0.1307,TRUE,0.4715,2,0.4014,0.4854,FALSE
10024,Food Service,3.6,7.01,0.1769,FALSE,0.3233,1,0,0,FALSE
10025,Construction,0,21.08,0.0609,FALSE,0.5809,1,0.1509,0.6116,FALSE
10026,Management,0.37,21.18,0.0221,TRUE,0.2365,5,0,0.5986,FALSE
10027,Food Service,1.63,0,0.0867,FALSE,0.1117,1,0,0.8038,FALSE
10028,Construction,8.17,7.21,0.0615,FALSE,0,4,0.1213,0.8144,FALSE
10029,Food Service,8,5.94,0,FALSE,0.4927,3,0,0.9469,FALSE
10030,Management,8.13,35.26,0,TRUE,0.5564,2,0,0.7898,FALSE
10031,Legal,52.59,29.02,0.5428,FALSE,0.5013,3,0.5247,0.6113,TRUE
10032,Healthcare Practitioners,12.29,29.62,0.1273,TRUE,0.546,2,0.5023,0.0505,FALSE
10033,Legal,39.44,39.59,0.2933,TRUE,0.3604,3,0.2079,0.3131,FALSE
10034,Arts & Design,39.06,33.14,0.5036,FALSE,0.3165,5,0.3897,0.4178,FALSE
10035,Architecture & Engineering,11.85,22.07,0.0939,FALSE,0.3878,2,0.1046,0,FALSE
10036,Arts & Design,34.72,27.68,0.4053,FALSE,0.5207,1,0.0292,0.4475,FALSE
10037,Management,12.45,20.08,0,TRUE,0.8077,3,0.2454,0.6972,FALSE
10038,Arts & Design,29.75,20.53,0.359,TRUE,0.6243,1,0.3288,0.2027,FALSE
10039,Sales,13.43,43.45,0.1225,FALSE,0.4417,4,0.1676,0.2556,FALSE
10040,Education,15.92,24.01,0.0296,FALSE,0.6415,5,0.0764,0.8625,FALSE
10041,Business & Financial,25,27.1,0.2581,FALSE,0.6371,3,0.2613,0.4788,FALSE
10042,Arts & Design,11.32,29.15,0.2245,TRUE,0.7731,2,0.3995,0.0367,FALSE
10043,Healthcare Practitioners,14.14,9.59,0.0799,FALSE,0.769,1,0,0.3904,FALSE
10044,Protective Service,18.85,10.01,0.2682,FALSE,0.2956,4,0.3619,0.8395,FALSE
10045,Protective Service,13.27,1.59,0.1705,FALSE,0.1573,3,0.2232,0.7243,FALSE
10046,Architecture & Engineering,8.86,29.19,0.0055,FALSE,0.7941,2,0.0935,0.8261,FALSE
10047,Sales,20.09,32.95,0.2264,TRUE,0.3241,4,0.2505,1,FALSE
10048,Healthcare Practitioners,17.97,19.58,0.0375,TRUE,0.3446,2,0.1825,0.5853,FALSE
10049,Architecture & Engineering,3.88,29.26,0.0344,FALSE,0.613,1,0,0.1537,FALSE
10050,Office Support,74.31,13.64,0.8223,TRUE,0.4903,3,1,0.4636,TRUE
10051,Healthcare Practitioners,22.57,24.85,0.1797,FALSE,0.6392,4,0.5131,0.6497,FALSE
10052,Legal,41.13,28.21,0.4206,FALSE,0.5937,2,0.4239,1,FALSE
10053,Arts & Design,32.78,31.55,0.4112,TRUE,0.342,5,0.4585,0.5474,FALSE
10054,Construction,9.85,10.29,0.145,FALSE,0.479,2,0.1174,0.9837,FALSE
10055,Arts & Design,22.42,52.85,0.2605,TRUE,0.5743,4,0.1554,0.2855,FALSE
10056,Healthcare Practitioners,28.58,29.77,0.3294,FALSE,0.0279,1,0.0626,0.8948,FALSE
10057,Business & Financial,37.89,38.48,0.2677,TRUE,0.4628,5,0.4635,1,FALSE
10058,Legal,58.69,25.34,0.674,FALSE,0.3757,2,0.3538,1,FALSE
10059,Arts & Design,36.6,47.38,0.3654,TRUE,0.4042,4,0.1988,0.6101,FALSE
10060,Arts & Design,28.1,39.34,0.4868,TRUE,0.3585,2,0,0.3641,TRUE
10061,Business & Financial,28.37,40.8,0.2573,TRUE,0.4099,5,0.3297,0.773,FALSE
10062,Legal,45.44,39.15,0.4724,FALSE,0.4578,5,0.9541,0.3611,FALSE
10063,Architecture & Engineering,7.93,32.04,0.1403,TRUE,0.7558,1,0.066,0.0912,FALSE
10064,Production,7.14,28.92,0.0896,FALSE,0.7263,1,0,0.6859,FALSE
10065,Food Service,0,6.76,0,FALSE,0.1125,2,0.0365,0,FALSE
10066,Protective Service,9.04,23.39,0.0261,FALSE,0.7352,1,0.2718,0.6913,FALSE
10067,Office Support,69.86,20.84,0.7254,TRUE,0.2263,5,0.8433,0.4298,FALSE
10068,Business & Financial,26.17,30.13,0.2528,TRUE,0.4861,1,0.3871,0.0344,FALSE
10069,Architecture & Engineering,11.62,34.89,0.1165,FALSE,0.3861,4,0.4163,0.3148,FALSE
10070,Arts & Design,22.63,40.35,0.2478,FALSE,0.237,4,0.3893,1,FALSE
10071,Production,8.9,20.92,0.2467,FALSE,0.3633,3,0.1386,0.6596,FALSE
10072,Business & Financial,36.1,35.41,0.3034,FALSE,0.3742,4,0.4177,0.5292,FALSE
10073,Architecture & Engineering,0,25.06,0.0119,TRUE,0.5793,3,0.0135,0.4531,FALSE
10074,Office Support,74.31,8.9,0.7447,TRUE,0.3318,1,0.6613,0.4193,TRUE
10075,Sales,8.26,21.45,0.1953,FALSE,0.555,1,0,0.8532,FALSE
10076,Office Support,62.16,9.31,0.5229,TRUE,0.4287,5,0.3355,0.228,TRUE
10077,Life/Physical Science,27.91,22.84,0.3191,TRUE,0.3483,2,0.349,0.3203,FALSE
10078,Healthcare Practitioners,3.44,24.1,0.0139,FALSE,0.5804,4,0.0956,1,FALSE
10079,Education,9.55,30.71,0.0623,FALSE,0.2055,2,0.2741,0.5098,FALSE
10080,Protective Service,0,9.04,0,FALSE,0.4446,4,0,0.3389,FALSE
10081,Construction,15.67,20.87,0.1295,TRUE,0.1012,1,0.2792,0.6002,FALSE
10082,Life/Physical Science,13.9,43.65,0.1006,FALSE,0.4981,4,0.288,0.3908,FALSE
10083,Healthcare Practitioners,17.67,29.59,0.1013,FALSE,0.2583,3,0.2139,0.4184,FALSE
10084,Legal,20.82,55.61,0.3288,TRUE,0.3877,1,0.1315,0.8848,FALSE
10085,Production,11.41,14.81,0.1351,FALSE,0.7395,4,0.17,0.3381,FALSE
10086,Legal,34.19,30.14,0.3334,TRUE,0.5293,5,0.1167,0.0657,FALSE
10087,Architecture & Engineering,2.46,38.48,0,FALSE,0.5907,3,0.1501,0.9703,FALSE
10088,Arts & Design,24.84,47.09,0.2844,TRUE,0.7253,1,0.2771,0.6239,FALSE
10089,Arts & Design,18.36,46.88,0,TRUE,0.1555,4,0,0.9314,FALSE
10090,Architecture & Engineering,11.06,33.6,0,FALSE,0.3914,3,0.2535,1,FALSE
10091,Office Support,99.59,34.46,1,TRUE,0.3379,2,0.8772,1,FALSE
10092,Healthcare Practitioners,9.79,27.78,0,FALSE,0.127,4,0,0.953,FALSE
10093,Management,12.73,40.9,0.1001,FALSE,0.3498,3,0.3605,0.3463,FALSE
10094,Business & Financial,39.57,47.76,0.4852,TRUE,0.1754,1,0.3257,1,FALSE
10095,Life/Physical Science,20.6,32.86,0.119,FALSE,0.7685,2,0.324,1,FALSE
10096,Protective Service,5.2,10.46,0,FALSE,0,3,0,0.4114,FALSE
10097,Sales,23.44,30.73,0.3223,TRUE,0.5158,2,0.3108,0.1019,FALSE
10098,Technology/Computer,27.42,46.51,0.1096,TRUE,0.3285,2,0.1331,0.642,FALSE
10099,Life/Physical Science,9.05,15.69,0.0767,FALSE,0.0759,2,0,0.761,FALSE
10100,Construction,0,24.06,0,FALSE,0.2761,5,0.1505,0.74,FALSE
10101,Healthcare Practitioners,22.62,0,0.181,FALSE,0.669,2,0.204,0.5882,FALSE
10102,Protective Service,0,0,0,FALSE,0.3433,2,0,0.4057,FALSE
10103,Sales,9.08,28.93,0.1734,FALSE,0.6204,4,0.2064,0,FALSE
