emp_id,sector,soc_code,theoretical_exposure_pct,augmentation_potential_pct,realized_coverage_idx,is_remote_eligible,skill_transferability_score,org_ai_maturity_stage,task_codifiability_score,education_mismatch_idx,displacement_occurred
10001,Office Support,27-2031.00,60.92,16.56,0.4929,True,0.5751,1,0.5572,1.0,True
10002,Office Support,49-3043.00,67.59,28.14,0.5094,True,0.6394,5,0.6998,0.2327,True
10003,Office Support,27-2042.00,64.26,26.06,0.8085,True,0.9921,5,0.5482,0.5514,True
10004,Office Support,53-6032.00,72.14,8.3,0.6449,True,0.812,2,0.8335,0.2128,False
10005,Production,51-4081.00,11.42,4.19,0.0864,False,0.6731,1,0.8846,0.4878,False
10006,Office Support,29-1218.00,87.01,6.58,0.7488,False,0.1725,3,0.9968,0.5071,True
10007,Management,11-9199.09,13.4,24.53,0.2622,True,0.6816,3,0.7992,0.2723,False
10008,Production,27-4031.00,18.01,37.05,0.2305,False,0.2626,2,0.714,0.2798,False
10009,Office Support,19-1041.00,89.23,16.14,0.8622,True,0.4725,1,1.0,0.2263,True
10010,Architecture & Engineering,17-2199.00,6.25,32.75,0.1734,False,0.3935,1,0.0021,0.8651,False
10011,Technology/Computer,15-1243.01,19.71,49.58,0.3034,True,0.6846,2,0.522,0.9038,False
10012,Office Support,39-3011.00,72.81,29.56,0.7125,True,0.8416,2,0.5993,0.6604,True
10013,Technology/Computer,29-1141.03,13.56,52.2,0.186,True,0.4904,5,0.7961,0.9186,False
10014,Office Support,53-7081.00,75.41,12.65,0.7392,True,0.4245,3,0.6067,0.1866,True
10015,Healthcare Practitioners,29-1249.00,5.15,30.86,0.0992,False,0.6038,5,0.038,0.3916,False
10016,Office Support,47-4031.00,66.84,15.39,0.637,True,0.9835,1,0.7925,0.1447,True
10017,Office Support,11-9039.00,69.48,28.67,0.6284,True,0.4971,2,0.6512,0.5837,True
10018,Office Support,47-2161.00,69.71,20.89,0.5428,False,0.5215,3,1.0,0.2836,False
10019,Production,51-4072.00,26.62,27.07,0.0288,True,0.5782,2,0.5408,0.7218,False
10020,Office Support,29-2033.00,78.5,26.1,0.74,True,0.7287,1,0.8097,0.7299,True
10021,Office Support,49-3093.00,72.95,31.18,0.7278,True,0.3738,1,0.6543,0.5575,True
10022,Management,11-9081.00,19.01,33.54,0.2471,True,0.8714,5,0.7808,0.5008,False
10023,Office Support,13-1131.00,74.19,24.83,0.871,True,0.3139,1,0.8008,0.696,True
10024,Production,51-4034.00,37.42,0.0,0.1863,False,0.5506,1,0.8992,0.5556,False
10025,Technology/Computer,37-1011.00,21.37,43.35,0.1643,True,0.459,1,0.8307,1.0,False
10026,Office Support,39-3092.00,94.33,20.03,1.0,True,0.3952,3,0.7321,0.0,True
10027,Education,25-2051.00,8.92,27.27,0.0,False,0.7124,1,0.7641,0.2678,False
10028,Office Support,43-4141.00,80.76,14.05,0.7715,False,0.5692,2,0.6674,0.4764,False
10029,Office Support,35-9031.00,61.32,23.61,0.6239,True,0.5151,3,0.5106,1.0,False
10030,Arts & Design,55-3014.00,29.22,34.57,0.3418,True,0.3726,2,0.3058,0.7093,False
10031,Office Support,17-3012.00,81.65,32.34,0.8808,True,0.2558,1,0.7433,0.7375,True
10032,Office Support,13-1031.00,67.64,33.92,0.7317,True,0.9396,1,0.8007,0.0248,False
10033,Office Support,39-9032.00,65.93,34.81,0.4603,True,0.6661,1,0.8049,0.1643,True
10034,Office Support,53-3032.00,87.51,21.16,0.8122,True,0.5153,2,0.4777,0.6479,True
