emp_id,sector,job_title,soc_code,annual_salary_usd,ai_salary_premium_pct,demand_growth_yoy_pct,is_remote_eligible,is_llm_role,task_codifiability_score,education_mismatch_idx,resilience_score,displacement_occurred
10001,Protective Service,Firefighters,33-2011.00,154000,9.2,22.9,FALSE,FALSE,0.7001,1,5.5,TRUE
10002,Office Support,Passenger Attendants,53-6061.00,120000,8.2,68.8,TRUE,FALSE,0.6,0.2384,14.58,TRUE
10003,Life/Physical Science,Clinical Research Coordinators,11-9121.01,185000,16.5,12.5,FALSE,FALSE,0.5741,0.412,4.15,FALSE
10004,Office Support,"Radio, Cellular, and Tower Equipment Installers and Repairers",49-2021.00,113000,11.2,40.2,TRUE,FALSE,0.8326,0.6001,9.16,TRUE
10005,Architecture & Engineering,Civil Engineering Technologists and Technicians,17-3022.00,244000,9.9,19.6,FALSE,FALSE,0.9048,0.7879,4.91,FALSE
10006,Technology/Computer,Financial Quantitative Analysts,13-2099.01,124000,8.3,73.6,TRUE,FALSE,0.8339,1,15.55,TRUE
10007,Architecture & Engineering,Electrical and Electronic Engineering Technologists and Technicians,17-3023.00,175000,17.8,15.6,FALSE,FALSE,0.7904,0.4038,4.9,FALSE
10008,Technology/Computer,Data Entry Keyers,43-9021.00,118000,8.5,16.5,FALSE,TRUE,0.6817,0.4183,4.15,FALSE
10009,Office Support,Astronomers,19-2011.00,374400,11.5,73.3,FALSE,FALSE,0.8591,0.6284,15.81,TRUE
10010,Office Support,"Roustabouts, Oil and Gas",47-5071.00,187000,11.8,18,TRUE,FALSE,0.6562,0.2081,4.78,TRUE
10011,Office Support,Aircraft Launch and Recovery Specialists,55-3012.00,153000,17.9,22.7,TRUE,FALSE,0.7942,0.7803,6.33,TRUE
10012,Food Service,"Cooks, All Other",35-2019.00,336000,8.9,28.8,FALSE,FALSE,0,0.6106,6.65,TRUE
10013,Healthcare Practitioners,"Healthcare Support Workers, All Other",31-9099.00,180000,8.7,62.4,FALSE,FALSE,0.1826,0.6206,13.35,TRUE
10014,Architecture & Engineering,Civil Engineers,17-2051.00,240000,6.3,29.6,FALSE,TRUE,0.7219,0.2574,6.55,FALSE
10015,Architecture & Engineering,Civil Engineering Technologists and Technicians,17-3022.00,336000,7.3,78.2,FALSE,TRUE,0.5632,0.3513,16.37,FALSE
10016,Office Support,"Ophthalmologists, Except Pediatric",29-1241.00,157000,8.4,24.5,TRUE,FALSE,0.8308,0.1301,5.74,TRUE
10017,Production,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",51-4072.00,160000,6.9,42.4,TRUE,TRUE,0.5275,1,9.17,FALSE
10018,Office Support,"Ophthalmologists, Except Pediatric",29-1241.00,145000,7.2,42,FALSE,TRUE,1,0.8776,9.12,FALSE
10019,Office Support,Appraisers and Assessors of Real Estate,13-2023.00,138000,4.8,82.3,TRUE,FALSE,0.737,0.3261,16.94,TRUE
10020,Office Support,Cytotechnologists,29-2011.02,110000,8.4,24,TRUE,FALSE,0.6408,0.6869,5.64,TRUE
10021,Office Support,Bioinformatics Technicians,15-2099.01,110000,9.4,11.7,TRUE,FALSE,0.6171,1,3.28,TRUE
10022,Office Support,Loan Officers,13-2072.00,295000,5.7,23.1,TRUE,FALSE,0.6492,0.182,5.19,TRUE
10023,Production,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",51-4021.00,190000,14.8,52.6,FALSE,FALSE,0.5061,0.8542,12,FALSE
10024,Office Support,"Locker Room, Coatroom, and Dressing Room Attendants",39-3093.00,188000,15.9,10.9,TRUE,FALSE,0.4813,0.1005,3.77,TRUE
10025,Production,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",51-7042.00,164000,6.2,67.7,FALSE,FALSE,0.5164,0,14.16,FALSE
10026,Office Support,Biostatisticians,15-2041.01,152000,15.6,70.4,TRUE,FALSE,0.6207,0.6467,15.64,TRUE
10027,Office Support,Command and Control Center Officers,55-1015.00,221000,16.6,5,FALSE,FALSE,0.8353,0.5863,2.66,TRUE
10028,Technology/Computer,Sustainability Specialists,13-1199.05,176000,16.7,6.6,TRUE,FALSE,0.8549,0.7323,2.99,TRUE
10029,Healthcare Practitioners,Music Therapists,29-1129.02,140000,17.3,5.2,FALSE,FALSE,0.7192,0.8092,2.77,FALSE
10030,Production,Industrial Truck and Tractor Operators,53-7051.00,274000,17.8,63.9,TRUE,FALSE,0.6113,0.6781,14.56,FALSE
10031,Management,Range Managers,19-1031.02,177000,9.1,8.4,FALSE,FALSE,0.9201,0.6889,2.59,FALSE
10032,Business & Financial,Operations Research Analysts,15-2031.00,255000,6.3,26.4,FALSE,FALSE,0.8195,0.4144,5.91,FALSE
10033,Office Support,Tool and Die Makers,51-4111.00,100000,16.4,7.6,TRUE,FALSE,0.6201,0.9077,3.16,TRUE
10034,Office Support,Nuclear Medicine Technologists,29-2033.00,384000,16.4,15.5,TRUE,FALSE,0.6875,0.8239,4.74,TRUE
10035,Healthcare Practitioners,Advanced Practice Psychiatric Nurses,29-1141.02,208000,9.6,29.8,FALSE,FALSE,0.7938,0.4165,6.92,FALSE
10036,Office Support,Landscaping and Groundskeeping Workers,37-3011.00,176000,16.7,6.6,TRUE,FALSE,0.5141,0.0897,2.99,TRUE
10037,Office Support,"Judges, Magistrate Judges, and Magistrates",23-1023.00,298000,12.5,72.1,FALSE,FALSE,0.7108,0.135,15.67,FALSE
10038,Office Support,Tax Preparers,13-2082.00,115000,8.9,18.6,TRUE,FALSE,0.6776,0.2863,4.61,TRUE
10039,Life/Physical Science,"Life Scientists, All Other",19-1099.00,139000,12.5,10.2,FALSE,FALSE,0.3013,0.9872,3.29,FALSE
10040,Production,Adhesive Bonding Machine Operators and Tenders,51-9191.00,166000,4,50.4,TRUE,TRUE,0.4382,0.5421,10.48,FALSE
10041,Technology/Computer,Business Continuity Planners,13-1199.04,177000,17.1,20.6,TRUE,FALSE,0.5002,0.3601,5.83,TRUE
10042,Architecture & Engineering,Telecommunications Engineering Specialists,15-1241.01,100000,16.4,7.6,FALSE,FALSE,0.8707,0.5554,3.16,FALSE
10043,Office Support,Surgical Assistants,29-9093.00,317000,8,26.5,TRUE,FALSE,0.8677,0.8194,6.1,TRUE
10044,Office Support,"Religious Workers, All Other",21-2099.00,292000,12.1,78.1,TRUE,FALSE,0.5893,0.4844,16.83,TRUE
10045,Management,Biofuels Production Managers,11-3051.03,180000,11.7,26.2,TRUE,TRUE,0.826,0.576,6.41,FALSE
10046,Protective Service,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33-9092.00,336000,7.3,78.2,FALSE,TRUE,0.7881,0.5624,16.37,FALSE
10047,Sales,"Buyers and Purchasing Agents, Farm Products",13-1021.00,145000,8.4,81.1,FALSE,TRUE,0.8015,0.0707,17.06,FALSE
10048,Life/Physical Science,"Biological Scientists, All Other",19-1029.00,184000,9,9.3,FALSE,FALSE,0.1474,0.6926,2.76,FALSE
10049,Office Support,"Education Administrators, Postsecondary",11-9033.00,140000,15.5,18.5,TRUE,FALSE,0.7014,0.6855,5.25,TRUE
10050,Office Support,"Patternmakers, Wood",51-7032.00,259000,9.7,28.1,TRUE,FALSE,0.7689,0.8822,6.59,TRUE
10051,Arts & Design,"Artists and Related Workers, All Other",27-1019.00,172000,10.3,76.7,TRUE,FALSE,0.2566,0.2739,16.37,TRUE
10052,Office Support,"Welders, Cutters, Solderers, and Brazers",51-4121.00,141000,8.4,28.3,TRUE,FALSE,0.388,0.376,6.5,TRUE
10053,Office Support,Occupational Therapy Assistants,31-2011.00,384000,16.4,15.5,FALSE,FALSE,0.8017,0.2523,4.74,FALSE
10054,Office Support,Sailors and Marine Oilers,53-5011.00,360000,3.1,51.5,FALSE,TRUE,0.8256,0.7589,10.61,FALSE
10055,Business & Financial,Intelligence Analysts,33-3021.06,202000,12,66.8,TRUE,TRUE,0.6524,1,14.56,FALSE
10056,Management,Food Service Managers,11-9051.00,161000,8.4,15.9,TRUE,TRUE,0.6871,0.246,4.02,FALSE
10057,Food Service,"Cooks, All Other",35-2019.00,185000,16.5,12.5,FALSE,FALSE,0.0656,0.1728,4.15,TRUE
10058,Office Support,Obstetricians and Gynecologists,29-1218.00,183000,9.4,25,FALSE,FALSE,0.8081,0.7052,5.94,FALSE
10059,Architecture & Engineering,Environmental Engineers,17-2081.00,110000,8.5,5.7,FALSE,FALSE,0.9122,0.3224,1.99,TRUE
10060,Protective Service,Police and Sheriff's Patrol Officers,33-3051.00,146000,8.5,5.9,FALSE,FALSE,0.9255,0.6002,2.03,TRUE
10061,Sales,"Tax Examiners and Collectors, and Revenue Agents",13-2081.00,344000,8.7,45.2,TRUE,TRUE,0.7296,0.3199,9.91,FALSE
10062,Office Support,Heavy and Tractor-Trailer Truck Drivers,53-3032.00,307000,11.4,9.1,TRUE,FALSE,0.6858,0.8572,2.96,TRUE
10063,Production,Chemical Plant and System Operators,51-8091.00,179000,17,13.4,FALSE,FALSE,0.5921,1,4.38,FALSE
10064,Office Support,"Coil Winders, Tapers, and Finishers",51-2021.00,214000,13.7,83.4,TRUE,TRUE,0.6495,0.3684,18.05,FALSE
10065,Office Support,Anthropologists and Archeologists,19-3091.00,100000,13.1,79.9,TRUE,FALSE,0.9093,0.7285,17.29,TRUE
10066,Production,Pile Driver Operators,47-2072.00,130000,17.4,18.7,FALSE,FALSE,0.7208,0.3587,5.48,FALSE
10067,Office Support,"Patternmakers, Metal and Plastic",51-4062.00,230000,4.6,39.5,TRUE,TRUE,0.4774,0,8.36,TRUE
10068,Technology/Computer,Critical Care Nurses,29-1141.03,145000,8.4,82.2,TRUE,FALSE,0.8057,0.9767,17.28,TRUE
10069,Sales,Telemarketers,41-9041.00,140000,14.8,14.8,FALSE,FALSE,0.7694,0.964,4.44,FALSE
10070,Office Support,Floor Sanders and Finishers,47-2043.00,155000,13.5,75.9,TRUE,TRUE,0.5398,0,16.53,TRUE
10071,Office Support,Transportation Planners,19-3099.01,217000,10.2,6.2,TRUE,FALSE,0.8435,0.6671,2.26,TRUE
10072,Architecture & Engineering,Nanotechnology Engineering Technologists and Technicians,17-3026.01,149000,15.3,29,FALSE,FALSE,0.7651,0.2451,7.33,FALSE
10073,Office Support,Armored Assault Vehicle Officers,55-1013.00,201000,16.5,16.4,TRUE,FALSE,0.7398,0.5369,4.93,TRUE
10074,Arts & Design,"Entertainers and Performers, Sports and Related Workers, All Other",27-2099.00,120000,9.7,84,TRUE,FALSE,0.2508,0.5739,17.77,FALSE
10075,Office Support,"Maintenance and Repair Workers, General",49-9071.00,110000,9,22.5,FALSE,FALSE,0.9398,0.0097,5.4,FALSE
10076,Office Support,Gem and Diamond Workers,51-9071.06,208000,8.7,55.4,TRUE,FALSE,0.7811,0.128,11.95,FALSE
10077,Office Support,Armored Assault Vehicle Crew Members,55-3013.00,229000,12.2,9,TRUE,FALSE,0.6928,0.5778,3.02,TRUE
10078,Office Support,"Logging Workers, All Other",45-4029.00,144000,4.5,16,TRUE,TRUE,0.7794,0.3404,3.65,TRUE
10079,Production,Electromechanical Equipment Assemblers,51-2023.00,149000,15.3,29,FALSE,FALSE,0.6402,0.0219,7.33,FALSE
10080,Office Support,"Roof Bolters, Mining",47-5043.00,157000,3.3,14.1,TRUE,FALSE,0.8108,0.5292,3.15,TRUE
10081,Office Support,Railroad Conductors and Yardmasters,53-4031.00,100000,15.1,60.5,FALSE,FALSE,0.7253,0.4275,13.61,FALSE
10082,Arts & Design,Artillery and Missile Crew Members,55-3014.00,196000,8.6,29.9,TRUE,FALSE,0.2863,0.5552,6.84,TRUE
10083,Sales,"Buyers and Purchasing Agents, Farm Products",13-1021.00,183000,16.9,13.6,FALSE,FALSE,0.8132,0.9065,4.41,FALSE
10084,Food Service,"Cooks, Private Household",35-2013.00,222000,7,40.8,FALSE,FALSE,0.6038,0.7296,8.86,FALSE
10085,Management,Producers and Directors,27-2012.00,209000,17.3,15.7,TRUE,FALSE,0.8197,0.6439,4.87,TRUE
10086,Office Support,Commercial Divers,49-9092.00,210000,5.4,31.6,TRUE,FALSE,0.6701,0.5969,6.86,TRUE
10087,Office Support,Tool and Die Makers,51-4111.00,98000,5.5,18.1,FALSE,TRUE,0.7418,0.7148,4.17,FALSE
10088,Office Support,Helpers--Production Workers,51-9198.00,240000,8.4,18.3,FALSE,TRUE,0.7343,1,4.5,FALSE
10089,Construction,Helpers--Electricians,47-3013.00,160000,17.1,12.4,FALSE,FALSE,0.8373,0.8099,4.19,FALSE
10090,Healthcare Practitioners,Medical Equipment Repairers,49-9062.00,199000,12.2,23.2,FALSE,FALSE,0.5256,0.7603,5.86,TRUE
10091,Technology/Computer,School Bus Monitors,33-9094.00,151000,11.2,13.6,TRUE,FALSE,0.1914,0.5634,3.84,TRUE
10092,Production,Crematory Operators,39-4012.00,270000,16,75.7,FALSE,FALSE,0.2535,0,16.74,FALSE
10093,Production,Printing Press Operators,51-5112.00,261600,7.6,16.4,FALSE,FALSE,0.7735,0.7457,4.04,FALSE
10094,Office Support,"Sewers, Hand",51-6051.00,150000,10.9,19.6,TRUE,TRUE,0.4339,0.233,5.01,TRUE
10095,Education,"Preschool Teachers, Except Special Education",25-2011.00,196000,8.6,29.9,TRUE,FALSE,0.7696,0.3737,6.84,TRUE
10096,Management,Hydroelectric Production Managers,11-3051.06,210000,5.4,31.6,TRUE,FALSE,0.8548,0.5511,6.86,TRUE
10097,Office Support,Customer Service Representatives,43-4051.00,260000,12.1,7.5,TRUE,FALSE,0.6545,0.8658,2.71,TRUE
10098,Office Support,First-Line Supervisors of Office and Administrative Support Workers,43-1011.00,217000,10.2,6.2,TRUE,FALSE,0.8013,0.25,2.26,TRUE
10099,Office Support,Transportation Inspectors,53-6051.00,198000,16.7,57.3,TRUE,TRUE,0.7785,0.7918,13.13,TRUE
10100,Arts & Design,"Entertainers and Performers, Sports and Related Workers, All Other",27-2099.00,236000,3.9,29.4,FALSE,FALSE,0.1692,0.3136,6.27,FALSE
10101,Life/Physical Science,Biologists,19-1029.04,142000,11.2,30.4,FALSE,FALSE,0.8252,0.5939,7.2,FALSE
10102,Office Support,Orthodontists,29-1023.00,244000,9.9,19.6,FALSE,FALSE,0.5832,0.8294,4.91,FALSE
10103,Technology/Computer,Fitness and Wellness Coordinators,11-9179.01,150000,12.1,20.4,TRUE,TRUE,0.6038,0.206,5.29,FALSE
10104,Office Support,Real Estate Brokers,41-9021.00,307000,17.5,7.5,TRUE,FALSE,0.6162,0.4464,3.25,TRUE
10105,Architecture & Engineering,Telecommunications Engineering Specialists,15-1241.01,160000,6.1,6.8,TRUE,TRUE,0.8808,0.7391,1.97,FALSE
10106,Management,Biofuels Production Managers,11-3051.03,196000,8.6,29.9,TRUE,FALSE,0.8512,0.4277,6.84,FALSE
10107,Office Support,Orthodontists,29-1023.00,172000,10.3,76.7,TRUE,FALSE,0.768,0.3862,16.37,TRUE
10108,Office Support,New Accounts Clerks,43-4141.00,190000,12.9,12.3,FALSE,FALSE,0.6993,0.542,3.75,FALSE
10109,Production,Shoe Machine Operators and Tenders,51-6042.00,138000,4.8,82.3,FALSE,FALSE,0.5336,0.5766,16.94,FALSE
10110,Office Support,Pest Control Workers,37-2021.00,216000,9.8,8.5,FALSE,FALSE,0.4863,0.4821,2.68,FALSE
10111,Management,Regulatory Affairs Managers,11-9199.01,98000,5.5,18.1,FALSE,TRUE,0.7418,0.7177,4.17,FALSE
10112,Education,"Postsecondary Teachers, All Other",25-1199.00,168000,15.1,69.9,FALSE,FALSE,0,0.4695,15.49,FALSE
10113,Office Support,Infantry,55-3016.00,307000,11.9,29.3,TRUE,FALSE,1,0.6029,7.05,TRUE
10114,Office Support,Treasurers and Controllers,11-3031.01,98000,5.5,18.1,TRUE,TRUE,0.7454,0.1489,4.17,TRUE
