emp_id,sector,soc_code,job_title,job_category,experience_level,years_of_experience,education_required,city,country,is_remote_eligible,remote_type,is_remote_friendly,company_size,annual_salary_usd,salary_min_usd,salary_max_usd,salary_tier,ai_salary_premium_pct,skills_python,skills_sql,skills_ml,skills_deep_learning,skills_cloud,required_skills_count,is_llm_role,demand_score,demand_growth_yoy_pct,hiring_urgency,job_openings,projected_openings_2030,benefits_score_10,posting_year,posting_month,is_senior,gender_diversity_pct,ai_impact_level,theoretical_exposure_pct,augmentation_potential_pct,realized_coverage_idx,task_codifiability_score,skill_transferability_score,org_ai_maturity_stage,education_mismatch_idx,resilience_score,job_zone,median_salary_onet,chance_of_automation_onet,bls_employment_baseline,working_age_pop_baseline,claude_ai_adoption_index,api_adoption_index,task_thinking_fraction,task_validation_fraction,task_learning_fraction,task_directive_fraction,task_iteration_fraction,task_feedback_loop_fraction,job_forecast_onet,is_bright_outlook_onet,is_green_onet,state_gdp_baseline,country_gdp_baseline,overall_risk_category,displacement_occurred
10001,Office Support,51-6099.00,"Textile, Apparel, and Furnishings Workers, All Other",AI Engineering,Senior (6-9 yrs),6,Associate's,Tokyo,Japan,1,Remote,1,Startup (1-50),120000.0,96000.0,144000.0,Mid ($100-150k),15.8,1,0,0,1,1,5,1,95,69.8,Low,3,7544,7.5,2026,3,1,30.33,Critical,99.91,17.5,0.5086,1.0,0.5697,3,0.2409,15.54,3,27750.0,-1.0,128112,15873940,26.2,39.11,0.1921,0.148,0.0971,0.2493,0.1231,0.1904,2000,0,0,38675946363.65,17236577648823.67,High Risk,1
10002,Education,25-2012.00,"Kindergarten Teachers, Except Special Education",AI Engineering,Entry (0-2 yrs),4,PhD,Tokyo,Japan,1,Remote,1,SME (51-500),145000.0,116000.0,174000.0,Mid ($100-150k),9.8,0,0,0,0,1,4,0,87,11.9,Medium,4,7898,8.6,2025,3,0,30.7,Low,19.74,33.61,0.1378,0.1276,0.439,1,0.4493,3.36,4,55470.0,15.0,763755,36700114,58.75,42.33,0.2867,0.2247,0.0626,0.1301,0.1502,0.1458,14300,0,0,61067934411.56,12287900158832.89,Low Risk,1
10003,Office Support,23-1023.00,"Judges, Magistrate Judges, and Magistrates",ML Operations,Mid (3-5 yrs),7,Master's,Bangalore,India,1,Remote,1,Enterprise (5000+),130000.0,104000.0,156000.0,Mid ($100-150k),14.7,0,1,0,1,0,3,1,93,62.7,High,8,2619,9.3,2025,4,0,69.3,High,78.25,22.27,0.4875,0.9105,0.445,3,0.2252,14.01,5,133920.0,40.0,1201166,1257396,55.14,46.86,0.3023,0.1831,0.1265,0.1629,0.1522,0.073,1500,0,0,186028668270.53,20943127192513.64,High Risk,1
10004,Office Support,29-1213.00,Dermatologists,Governance,Lead (10+ yrs),7,PhD,Austin,USA,1,Remote,1,SME (51-500),240000.0,192000.0,288000.0,Senior ($200-300k),10.0,1,1,0,0,0,6,0,68,27.7,Medium,1,8499,9.0,2025,11,0,37.8,High,84.83,32.69,0.4717,0.82,0.7988,2,0.3285,6.54,3,60000.0,0.8483,1003007,10090479,60.42,31.49,0.3667,0.1379,0.0726,0.0669,0.221,0.1349,Average,0,0,185122292634.52,6868503001607.75,High Risk,1
10005,Technology/Computer,49-9094.00,Locksmiths and Safe Repairers,Robotics,Senior (6-9 yrs),8,PhD,San Francisco,USA,1,Remote,1,SME (51-500),288000.0,230400.0,345600.0,Senior ($200-300k),17.6,0,1,1,0,0,5,1,76,18.4,Low,5,5932,9.5,2025,7,1,37.18,Medium,25.15,75.22,0.1634,0.1232,0.7954,1,0.2574,5.44,2,41450.0,77.0,306735,42737027,52.49,51.03,0.251,0.1892,0.075,0.1622,0.1791,0.1435,2100,0,0,175759332538.19,2448329710373.57,Low Risk,0
10006,Office Support,25-9044.00,"Teaching Assistants, Postsecondary",Product,Senior (6-9 yrs),6,Associate's,Zurich,Switzerland,1,Remote,1,Big Tech (FAANG+),252000.0,201600.0,302400.0,Senior ($200-300k),9.1,1,1,1,0,0,5,1,85,18.7,High,7,9000,7.6,2025,7,1,67.02,High,60.38,31.98,0.3796,0.6252,0.8365,3,0.0313,4.65,4,60000.0,0.6038,1855879,47008783,26.39,32.51,0.2827,0.0545,0.1567,0.1985,0.1623,0.1454,Average,0,0,305082446761.86,18983666891676.42,High Risk,0
10007,Business & Financial,13-2099.04,"Fraud Examiners, Investigators and Analysts",AI Engineering,Senior (6-9 yrs),2,Bachelor's,Zurich,Switzerland,1,Remote,1,Mid-size (501-5000),160000.0,128000.0,192000.0,Upper-Mid ($150-200k),6.1,0,1,0,1,0,3,1,82,6.8,Medium,3,7801,9.3,2025,4,1,36.34,Medium,37.34,51.18,0.2168,0.3554,0.2957,5,0.1676,1.97,4,70280.0,-1.0,170492,21026363,23.75,47.49,0.3846,0.139,0.1296,0.0712,0.1427,0.1329,13700,0,0,36678283530.7,2202385626408.21,Medium Risk,1
10008,Production,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",Data Science,Entry (0-2 yrs),12,Bootcamp/Self-taught,New York,USA,0,On-site,0,Mid-size (501-5000),157000.0,125600.0,188400.0,Upper-Mid ($150-200k),5.8,0,1,0,0,1,4,0,90,17.2,High,9,6382,8.5,2025,9,0,49.11,Low,23.13,28.31,0.1919,0.2164,0.3149,4,0.0,4.02,2,39780.0,83.0,1456490,21453449,54.31,44.31,0.3157,0.1269,0.1125,0.0722,0.2679,0.1049,6700,1,0,196853764042.91,24042808053596.67,Low Risk,1
10009,Management,11-9041.00,Architectural and Engineering Managers,Security,Lead (10+ yrs),10,Master's,Zurich,Switzerland,1,Remote,1,Startup (1-50),233000.0,186400.0,279600.0,Senior ($200-300k),8.7,1,0,0,1,0,4,1,80,15.6,Low,3,8269,8.7,2026,1,0,28.33,Low,14.25,80.52,0.1171,0.0822,0.3107,3,0.3824,3.99,5,140760.0,1.7,985373,44796511,47.86,23.54,0.1945,0.2105,0.065,0.1049,0.2565,0.1686,14600,0,1,323419483816.68,14156271968726.19,Low Risk,0
10010,Management,19-1031.02,Range Managers,AI Engineering,Entry (0-2 yrs),5,PhD,Beijing,China,1,Remote,1,SME (51-500),145000.0,116000.0,174000.0,Mid ($100-150k),3.2,1,0,1,1,0,5,1,94,44.0,High,8,483,9.4,2026,2,0,72.31,Low,11.14,66.13,0.094,0.0946,0.4459,1,0.1125,9.12,4,61310.0,-1.0,1906844,12364868,37.94,27.93,0.4079,0.1808,0.0831,0.1245,0.1042,0.0996,2600,0,0,296496506960.16,1089440499906.17,Low Risk,0
