emp_id,sector,soc_code,job_title,job_category,experience_level,years_of_experience,education_required,city,country,is_remote_eligible,remote_type,is_remote_friendly,company_size,annual_salary_usd,salary_min_usd,salary_max_usd,salary_tier,ai_salary_premium_pct,skills_python,skills_sql,skills_ml,skills_deep_learning,skills_cloud,required_skills_count,is_llm_role,demand_score,demand_growth_yoy_pct,hiring_urgency,job_openings,projected_openings_2030,benefits_score_10,posting_year,posting_month,is_senior,gender_diversity_pct,ai_impact_level,theoretical_exposure_pct,augmentation_potential_pct,realized_coverage_idx,task_codifiability_score,skill_transferability_score,org_ai_maturity_stage,education_mismatch_idx,resilience_score,job_zone,median_salary_onet,chance_of_automation_onet,bls_employment_baseline,working_age_pop_baseline,claude_ai_adoption_index,api_adoption_index,task_thinking_fraction,task_validation_fraction,task_learning_fraction,task_directive_fraction,task_iteration_fraction,task_feedback_loop_fraction,job_forecast_onet,is_bright_outlook_onet,is_green_onet,state_gdp_baseline,country_gdp_baseline,overall_risk_category,displacement_occurred
10001,Healthcare Practitioners,29-1242.00,"Orthopedic Surgeons, Except Pediatric",AI Engineering,Mid (3-5 yrs),5,Associate's,Seattle,USA,0,On-site,0,Mid-size (501-5000),213000,170400,255600,Senior ($200-300k),9.5,0,0,1,1,1,7,1,96,32.8,High,8,3964,8.6,2025,5,0,42.2,Low,18.4,44.97,0.1217,0.0228,0.5881,3,0.4284,7.51,2,60000,0.184,385833,4540192,72.21,35.62,0.3165,0.1812,0.0712,0.0706,0.237,0.1236,Average,0,0,2.48572E+11,2.30059E+13,Low Risk,0
10002,Office Support,29-1051.00,Pharmacists,AI Engineering,Senior (6-9 yrs),7,Bootcamp/Self-taught,Singapore,Singapore,1,Remote,1,Startup (1-50),180000,144000,216000,Upper-Mid ($150-200k),6.7,0,0,1,0,1,5,1,91,15.3,High,9,2842,7.5,2025,10,1,73.77,Medium,55.11,16.29,0.3977,0.6469,0.2677,1,0.1245,3.73,5,126120,1.2,625868,37548894,77.14,45.06,0.2512,0.1449,0.1117,0.2042,0.1936,0.0945,14100,0,0,4.46907E+11,1.18669E+13,Medium Risk,1
10003,Office Support,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",AI Engineering,Mid (3-5 yrs),3,Master's,Beijing,China,1,Remote,1,Enterprise (5000+),150000,120000,180000,Mid ($100-150k),17,1,0,1,1,0,6,1,95,18.8,High,2,9858,7.9,2026,3,0,74.57,Critical,100,25.06,0.5569,1,0.3662,1,0.6214,5.46,3,33340,90,1448320,17672757,60.36,59.23,0.327,0.2152,0.1031,0.1324,0.16,0.0623,5300,0,0,2.64713E+11,2.15932E+13,High Risk,1
10004,Food Service,51-3092.00,Food Batchmakers,Data Science,Lead (10+ yrs),10,Bachelor's,Beijing,China,0,On-site,0,Big Tech (FAANG+),157000,125600,188400,Upper-Mid ($150-200k),8.9,0,0,0,0,0,4,0,90,26.5,High,7,3688,8.6,2026,1,0,24.8,Low,0,12.59,0,0,0.4044,1,0.1656,6.19,2,29720,70,340832,34772637,57.3,49.12,0.2942,0.2523,0.1042,0.1262,0.1531,0.07,24800,0,0,3.15284E+11,5.49465E+12,Low Risk,0
10005,Production,51-8091.00,Chemical Plant and System Operators,AI Engineering,Entry (0-2 yrs),5,Associate's,London,UK,0,On-site,0,Startup (1-50),160000,128000,192000,Upper-Mid ($150-200k),3.7,0,0,0,1,0,4,1,98,86.2,High,8,7194,9.7,2026,2,0,27.09,Low,23.74,34.28,0.1293,0.221,0.4554,3,0.3549,17.61,2,62060,85,362237,35619995,43.31,22.32,0.3865,0.132,0.0769,0.1749,0.1483,0.0815,2800,0,1,2.19461E+11,1.92336E+13,Low Risk,0
10006,Technology/Computer,15-1299.05,Information Security Engineers,AI Engineering,Entry (0-2 yrs),3,Bachelor's,New York,USA,1,Remote,1,Big Tech (FAANG+),194000,155200,232800,Upper-Mid ($150-200k),9.2,1,0,0,1,0,5,1,95,45.1,Low,5,9304,9,2026,2,0,73.07,Medium,31.13,87.22,0.1816,0.1463,0.0966,4,0.399,9.94,4,60000,0.3113,1050446,6614803,37.23,39.49,0.2391,0.1977,0.0847,0.1799,0.1501,0.1484,Average,0,0,4.11284E+11,1.72025E+13,Medium Risk,1
10007,Healthcare Practitioners,29-1161.00,Nurse Midwives,Governance,Mid (3-5 yrs),7,Master's,Zurich,Switzerland,0,On-site,0,Enterprise (5000+),137000,109600,164400,Mid ($100-150k),9.1,1,1,0,1,1,5,1,68,17,Medium,1,9616,9.2,2025,6,0,44.47,Low,6.1,31.28,0.0407,0.1718,0.6525,2,0.2067,4.31,5,103770,-1,1194308,18067326,62.42,60.19,0.4441,0.1111,0.0849,0.0695,0.1938,0.0966,500,1,0,3.82425E+11,1.98606E+13,Low Risk,0
10008,Healthcare Practitioners,19-1042.00,"Medical Scientists, Except Epidemiologists",AI Engineering,Mid (3-5 yrs),3,Bootcamp/Self-taught,New York,USA,0,On-site,0,Enterprise (5000+),261000,208800,313200,Senior ($200-300k),10.4,0,0,0,1,1,4,1,96,50.4,High,9,7828,7.2,2026,2,0,42.76,Low,8.21,45.16,0.0527,0.3094,0.5579,4,0.118,11.12,5,84810,0.5,1919221,17951727,50.07,51.72,0.2523,0.1161,0.0649,0.1014,0.279,0.1864,13200,1,0,3.16499E+11,2.26567E+13,Low Risk,0
10009,Technology/Computer,13-2071.00,Credit Counselors,AI Engineering,Senior (6-9 yrs),2,Bachelor's,Seattle,USA,1,Remote,1,Enterprise (5000+),322000,257600,386400,Elite (>$300k),5.8,0,0,1,0,0,2,1,98,52.6,Medium,2,8786,9,2025,11,1,70.29,Medium,30.79,79.03,0.2221,0.3139,0.6589,1,0.3175,11.1,4,45180,4,1728123,24128790,19.3,63.8,0.4202,0.0617,0.0716,0.0544,0.2919,0.1002,3800,1,0,2.02748E+11,2.30101E+13,Medium Risk,1
10010,Production,51-8099.00,"Plant and System Operators, All Other",Data Engineering,Lead (10+ yrs),3,Master's,Remote,Global,0,On-site,0,Startup (1-50),203000,162400,243600,Senior ($200-300k),13,1,0,1,0,0,4,1,88,29.1,Medium,5,7006,9.1,2026,1,0,43.76,Medium,27.93,51.64,0.1396,0.2001,0.776,3,0.0378,7.12,3,57100,86,1468783,4238083,37.03,43.94,0.3362,0.1548,0.0953,0.166,0.1448,0.103,1400,0,0,1.00226E+11,9.30174E+12,Low Risk,0
